"tenure","MonthlyCharges","Contract","PaymentMethod","InternetService","Churn"
1,29.85,"Month-to-month","Electronic check","DSL","No"
34,56.95,"One year","Mailed check","DSL","No"
2,53.85,"Month-to-month","Mailed check","DSL","Yes"
45,42.3,"One year","Bank transfer (automatic)","DSL","No"
2,70.7,"Month-to-month","Electronic check","Fiber optic","Yes"
8,99.65,"Month-to-month","Electronic check","Fiber optic","Yes"
22,89.1,"Month-to-month","Credit card (automatic)","Fiber optic","No"
10,29.75,"Month-to-month","Mailed check","DSL","No"
28,104.8,"Month-to-month","Electronic check","Fiber optic","Yes"
62,56.15,"One year","Bank transfer (automatic)","DSL","No"
13,49.95,"Month-to-month","Mailed check","DSL","No"
16,18.95,"Two year","Credit card (automatic)","No","No"
58,100.35,"One year","Credit card (automatic)","Fiber optic","No"
49,103.7,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
25,105.5,"Month-to-month","Electronic check","Fiber optic","No"
69,113.25,"Two year","Credit card (automatic)","Fiber optic","No"
52,20.65,"One year","Mailed check","No","No"
71,106.7,"Two year","Bank transfer (automatic)","Fiber optic","No"
10,55.2,"Month-to-month","Credit card (automatic)","DSL","Yes"
21,90.05,"Month-to-month","Electronic check","Fiber optic","No"
1,39.65,"Month-to-month","Electronic check","DSL","Yes"
12,19.8,"One year","Bank transfer (automatic)","No","No"
1,20.15,"Month-to-month","Mailed check","No","Yes"
58,59.9,"Two year","Credit card (automatic)","DSL","No"
49,59.6,"Month-to-month","Credit card (automatic)","DSL","No"
30,55.3,"Month-to-month","Bank transfer (automatic)","DSL","No"
47,99.35,"Month-to-month","Electronic check","Fiber optic","Yes"
1,30.2,"Month-to-month","Electronic check","DSL","Yes"
72,90.25,"Two year","Credit card (automatic)","DSL","No"
17,64.7,"Month-to-month","Mailed check","DSL","Yes"
71,96.35,"Two year","Credit card (automatic)","Fiber optic","No"
2,95.5,"Month-to-month","Credit card (automatic)","Fiber optic","No"
27,66.15,"One year","Mailed check","DSL","No"
1,20.2,"Month-to-month","Bank transfer (automatic)","No","No"
1,45.25,"Month-to-month","Bank transfer (automatic)","DSL","No"
72,99.9,"Two year","Bank transfer (automatic)","Fiber optic","No"
5,69.7,"Month-to-month","Electronic check","Fiber optic","Yes"
46,74.8,"Month-to-month","Credit card (automatic)","Fiber optic","No"
34,106.35,"Month-to-month","Electronic check","Fiber optic","Yes"
11,97.85,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
10,49.55,"One year","Mailed check","DSL","No"
70,69.2,"Two year","Credit card (automatic)","DSL","No"
17,20.75,"One year","Mailed check","No","No"
63,79.85,"Two year","Credit card (automatic)","DSL","No"
13,76.2,"Month-to-month","Electronic check","DSL","No"
49,84.5,"Month-to-month","Electronic check","Fiber optic","No"
2,49.25,"Month-to-month","Mailed check","DSL","No"
2,80.65,"Month-to-month","Electronic check","Fiber optic","Yes"
52,79.75,"Two year","Credit card (automatic)","DSL","No"
69,64.15,"Two year","Credit card (automatic)","DSL","No"
43,90.25,"Month-to-month","Electronic check","Fiber optic","No"
15,99.1,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
25,69.5,"Month-to-month","Credit card (automatic)","DSL","No"
8,80.65,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
60,74.85,"One year","Credit card (automatic)","DSL","No"
18,95.45,"Month-to-month","Electronic check","Fiber optic","Yes"
63,99.65,"One year","Credit card (automatic)","Fiber optic","No"
